# frequency_cm-1 IR_intensity
1.071613000659999898e+03 5.521610523826916235e-04
1.073634911981999949e+03 5.564375777524283766e-04
1.075656823304000000e+03 5.607656636851395763e-04
1.077678734625999823e+03 5.651461473097742823e-04
1.079700645947999874e+03 5.695798828306972887e-04
1.081722557269999925e+03 5.740677419474065528e-04
1.083744468591999976e+03 5.786106142863450081e-04
1.085766379913999799e+03 5.832094078451932791e-04
1.087788291235999850e+03 5.878650494500634255e-04
1.089810202557999901e+03 5.925784852260185080e-04
1.091832113879999952e+03 5.973506810813718204e-04
1.093854025201999775e+03 6.021826232062203960e-04
1.095875936523999826e+03 6.070753185857015455e-04
1.097897847845999877e+03 6.120297955284577157e-04
1.099919759167999928e+03 6.170471042108462405e-04
1.101941670489999979e+03 6.221283172374136427e-04
1.103963581811999802e+03 6.272745302182052094e-04
1.105985493133999853e+03 6.324868623634851209e-04
1.108007404455999904e+03 6.377664570964666942e-04
1.110029315777999955e+03 6.431144826846861345e-04
1.112051227099999778e+03 6.485321328906654354e-04
1.114073138421999829e+03 6.540206276425443313e-04
1.116095049743999880e+03 6.595812137253785536e-04
1.118116961065999931e+03 6.652151654938440314e-04
1.120138872387999982e+03 6.709237856071014264e-04
1.122160783709999805e+03 6.767084057866145285e-04
1.124182695031999856e+03 6.825703875977470487e-04
1.126204606353999907e+03 6.885111232559868464e-04
1.128226517675999958e+03 6.945320364587000833e-04
1.130248428997999781e+03 7.006345832433330794e-04
1.132270340319999832e+03 7.068202528730355930e-04
1.134292251641999883e+03 7.130905687507004985e-04
1.136314162963999934e+03 7.194470893624798843e-04
1.138336074285999985e+03 7.258914092518587401e-04
1.140357985607999808e+03 7.324251600254270272e-04
1.142379896929999859e+03 7.390500113915362537e-04
1.144401808251999910e+03 7.457676722330641803e-04
1.146423719573999961e+03 7.525798917155918479e-04
1.148445630895999784e+03 7.594884604323168427e-04
1.150467542217999835e+03 7.664952115871174684e-04
1.152489453539999886e+03 7.736020222172093792e-04
1.154511364861999937e+03 7.808108144569345663e-04
1.156533276183999988e+03 7.881235568442602124e-04
1.158555187505999811e+03 7.955422656716463516e-04
1.160577098827999862e+03 8.030690063830197688e-04
1.162599010149999913e+03 8.107058950186462167e-04
1.164620921471999964e+03 8.184550997098064343e-04
1.166642832793999787e+03 8.263188422252302438e-04
1.168664744115999838e+03 8.342993995713621517e-04
1.170686655437999889e+03 8.423991056485917320e-04
