z_angstrom,reference_electron_line_density_e_per_angstrom,displaced_electron_line_density_e_per_angstrom,electron_charge_difference_e_per_angstrom,cumulative_charge_difference_e,cumulative_dipole_difference_e_angstrom
-7.763726165343842,4.04555592516682e-05,4.0466345308424895e-05,-1.0786056756694547e-08,-5.275464008290763e-07,3.087189829597931e-06
-7.682911280049157,5.3399358661424766e-05,5.339785585676085e-05,1.502804663914073e-09,-5.274249518425418e-07,3.086256747809334e-06
-7.602096394754473,6.953357198141247e-05,6.954287598334412e-05,-9.30400193165288e-09,-5.281768536914298e-07,3.091972778143975e-06
-7.52128150945979,9.020420354674985e-05,9.020427332049087e-05,-6.97737410112597e-11,-5.281824924483062e-07,3.092015188821806e-06
-7.440466624165106,0.000115918638730712,0.00011593689824537856,-1.8259514666563886e-08,-5.296581330316212e-07,3.1029946433312245e-06
-7.359651738870422,0.00014893057727032285,0.00014894236063219056,-1.1783361867707043e-08,-5.306104040693456e-07,3.1100030265298895e-06
-7.278836853575737,0.00019236119977752972,0.00019239525355463954,-3.4053777109820105e-08,-5.333624561603265e-07,3.1300347647126812e-06
-7.198021968281053,0.00024897290112879585,0.00024900268969324074,-2.978856444488514e-08,-5.357698155790332e-07,3.1473629906940803e-06
-7.1172070829863685,0.00032208263668449794,0.00032214266007184823,-6.002338735029353e-08,-5.406205987427455e-07,3.181887018984885e-06
-7.036392197691684,0.0004179501867742212,0.0004180137278089493,-6.354103472810263e-08,-5.457556601758027e-07,3.218019325187116e-06
-6.955577312397,0.0005424579308424247,0.0005425652084385679,-1.0727759614317933e-07,-5.544252868028032e-07,3.278321583460834e-06
-6.874762427102315,0.0007034431723698645,0.0007035618936071185,-1.1872123725407101e-07,-5.640197299735339e-07,3.3442811008799422e-06
-6.79394754180763,0.0009107068052904325,0.0009108812580341768,-1.744527437443251e-07,-5.781181084485745e-07,3.440064744663918e-06
-6.713132656512947,0.001179311689494978,0.0011795122734330526,-2.0058393807465685e-07,-5.94328276396034e-07,3.5488857524795676e-06
