# omega(eV)            xx             xy             xz             yx             yy             yz             zx             zy             zz
  14.30000   1.518801e-01   5.318109e-11  -2.480798e-09   5.318069e-11   1.518802e-01  -9.881569e-10  -2.480797e-09  -9.881554e-10   1.510442e-01
  14.40000   1.417127e-01  -2.109093e-10  -2.859436e-09  -2.109099e-10   1.417127e-01   1.111760e-08  -2.859435e-09   1.111760e-08   1.564470e-01
  14.50000   1.388524e-01   2.976830e-10  -6.920758e-09   2.976835e-10   1.388524e-01   8.510466e-09  -6.920757e-09   8.510463e-09   1.601446e-01
  14.60000   1.347408e-01  -2.615044e-10  -6.744716e-09  -2.615041e-10   1.347408e-01   1.343625e-08  -6.744717e-09   1.343625e-08   1.616503e-01
  14.70000   1.508102e-01   3.038113e-10  -8.458329e-09   3.038109e-10   1.508102e-01   5.978104e-09  -8.458327e-09   5.978105e-09   1.543069e-01
  14.80000   1.503334e-01  -3.153550e-10  -6.603092e-09  -3.153552e-10   1.503334e-01   8.398649e-10  -6.603092e-09   8.398638e-10   1.632331e-01
  14.90000   1.458177e-01  -1.092478e-09  -2.780727e-09  -1.092478e-09   1.458177e-01  -9.720861e-10  -2.780727e-09  -9.720861e-10   1.715393e-01
  15.00000   1.463380e-01  -3.448325e-10  -2.815514e-09  -3.448328e-10   1.463381e-01   9.372413e-10  -2.815514e-09   9.372410e-10   1.711474e-01
  15.10000   1.351824e-01  -6.643678e-10  -1.200084e-09  -6.643694e-10   1.351824e-01  -7.189084e-10  -1.200085e-09  -7.189094e-10   1.680396e-01
  15.20000   1.211731e-01  -5.142611e-10  -3.218433e-09  -5.142603e-10   1.211731e-01   4.841554e-09  -3.218433e-09   4.841554e-09   1.794561e-01
  15.30000   1.172667e-01  -1.585743e-11  -1.091540e-10  -1.585819e-11   1.172667e-01   3.705182e-09  -1.091543e-10   3.705184e-09   2.129274e-01
  15.40000   1.130855e-01  -3.022637e-10   2.810046e-09  -3.022652e-10   1.130855e-01   3.105877e-09   2.810047e-09   3.105875e-09   2.368132e-01
  15.50000   1.100746e-01   5.766999e-10   6.256633e-09   5.767004e-10   1.100746e-01   6.995156e-09   6.256632e-09   6.995155e-09   2.176257e-01
  15.60000   1.185407e-01   5.815691e-10   6.059211e-09   5.815686e-10   1.185407e-01   7.813170e-09   6.059212e-09   7.813169e-09   2.198499e-01
  15.70000   1.145899e-01   5.160998e-10   5.993505e-09   5.161016e-10   1.145899e-01   8.716320e-09   5.993503e-09   8.716320e-09   2.151053e-01
  15.80000   1.259173e-01   3.383085e-11   9.847411e-09   3.383180e-11   1.259173e-01   2.186831e-08   9.847414e-09   2.186831e-08   3.157990e-01
  15.90000   1.249948e-01   3.705026e-10   6.820007e-09   3.704997e-10   1.249948e-01   6.405919e-09   6.820008e-09   6.405922e-09   2.671502e-01
  16.00000   1.193897e-01  -7.664939e-10   2.990356e-09  -7.664935e-10   1.193897e-01   4.121508e-09   2.990355e-09   4.121508e-09   2.112232e-01
  16.10000   1.376017e-01   1.127336e-10  -7.732227e-11   1.127344e-10   1.376017e-01   3.639567e-09  -7.732142e-11   3.639566e-09   2.091128e-01
  16.20000   1.386112e-01   2.016288e-10   9.922601e-10   2.016298e-10   1.386112e-01   1.837805e-09   9.922634e-10   1.837805e-09   2.131619e-01
  16.30000   1.418065e-01   2.112736e-10   7.532428e-10   2.112722e-10   1.418065e-01  -1.948728e-09   7.532416e-10  -1.948728e-09   2.085365e-01
  16.40000   1.377542e-01   4.682396e-10  -2.088746e-09   4.682384e-10   1.377542e-01  -4.326120e-09  -2.088747e-09  -4.326119e-09   2.172240e-01
  16.50000   1.318795e-01   2.970869e-10  -1.298996e-09   2.970856e-10   1.318795e-01  -4.015424e-09  -1.298997e-09  -4.015425e-09   1.937510e-01
  16.60000   1.352463e-01  -1.730856e-10  -9.337218e-11  -1.730842e-10   1.352463e-01  -1.020606e-09  -9.337128e-11  -1.020605e-09   1.750077e-01
  16.70000   1.353778e-01   8.936267e-11   2.223173e-09   8.936269e-11   1.353778e-01  -4.708600e-09   2.223174e-09  -4.708599e-09   1.890931e-01
  16.80000   1.294027e-01   4.638794e-10   4.858944e-09   4.638775e-10   1.294027e-01   6.439481e-10   4.858943e-09   6.439488e-10   1.870624e-01
  16.90000   1.376806e-01  -4.899578e-10   8.120571e-09  -4.899568e-10   1.376806e-01   5.698959e-09   8.120571e-09   5.698958e-09   2.108045e-01
