# omega(eV)            xx             xy             xz             yx             yy             yz             zx             zy             zz
  15.50000   7.891930e-01   8.758897e-10   1.153480e-08   8.758904e-10   7.891930e-01   8.131186e-09   1.153481e-08   8.131187e-09   8.264616e-01
  15.60000   8.024049e-01   7.895961e-10   8.184178e-09   7.895962e-10   8.024049e-01   3.810195e-09   8.184177e-09   3.810195e-09   8.136570e-01
  15.70000   8.086581e-01  -2.325416e-10   7.412946e-09  -2.325419e-10   8.086581e-01   8.574646e-09   7.412947e-09   8.574647e-09   8.610344e-01
  15.80000   8.189564e-01  -1.121407e-10   4.715939e-09  -1.121420e-10   8.189564e-01  -1.341380e-09   4.715942e-09  -1.341376e-09   8.440045e-01
  15.90000   8.143561e-01  -9.185768e-10   2.078184e-11  -9.185772e-10   8.143560e-01  -1.108525e-08   2.078022e-11  -1.108525e-08   7.345247e-01
  16.00000   8.336485e-01  -1.612270e-10  -2.756530e-10  -1.612247e-10   8.336485e-01  -5.590141e-09  -2.756528e-10  -5.590143e-09   7.585456e-01
  16.10000   8.375673e-01   2.928392e-10   1.108892e-09   2.928399e-10   8.375673e-01  -4.959469e-09   1.108896e-09  -4.959472e-09   7.906053e-01
  16.20000   8.305728e-01   7.165064e-10   3.604529e-09   7.165047e-10   8.305728e-01  -5.690326e-09   3.604527e-09  -5.690325e-09   7.844069e-01
  16.30000   8.306583e-01  -4.591220e-11   2.193569e-09  -4.591200e-11   8.306583e-01  -8.987110e-09   2.193567e-09  -8.987109e-09   7.872524e-01
  16.40000   8.286449e-01  -5.772371e-10   2.733038e-09  -5.772382e-10   8.286449e-01  -6.249709e-09   2.733039e-09  -6.249710e-09   7.767122e-01
  16.50000   8.329217e-01   2.255055e-10   5.857125e-09   2.255078e-10   8.329217e-01   7.799040e-10   5.857124e-09   7.799049e-10   7.688570e-01
  16.60000   8.367318e-01  -3.507325e-10   7.138868e-09  -3.507327e-10   8.367318e-01   4.310607e-10   7.138869e-09   4.310607e-10   7.894111e-01
  16.70000   8.409558e-01   5.031256e-10   7.043287e-09   5.031246e-10   8.409558e-01   1.572324e-10   7.043286e-09   1.572340e-10   8.074234e-01
  16.80000   8.398418e-01  -1.287315e-11   6.699415e-09  -1.287128e-11   8.398418e-01   6.501031e-09   6.699415e-09   6.501031e-09   7.937328e-01
  16.90000   8.470530e-01  -8.670510e-10   3.391474e-09  -8.670504e-10   8.470530e-01   6.725058e-09   3.391474e-09   6.725057e-09   7.961705e-01
