frequency_cm-1,normalized_intensity
6.350832266325223827e+02,1.204819277108433798e-02
6.371318822023047233e+02,1.204819277108433798e-02
6.391805377720870638e+02,1.204819277108433798e-02
6.412291933418694043e+02,1.204819277108433798e-02
6.432778489116517449e+02,1.204819277108433798e-02
6.453265044814340854e+02,1.204819277108433798e-02
6.473751600512164259e+02,1.204819277108433798e-02
6.494238156209987665e+02,1.204819277108433798e-02
6.514724711907809933e+02,1.204819277108433798e-02
6.535211267605633338e+02,1.204819277108433798e-02
6.555697823303456744e+02,1.204819277108433798e-02
6.576184379001280149e+02,1.204819277108433798e-02
6.596670934699103555e+02,1.204819277108433798e-02
6.617157490396926960e+02,1.204819277108433798e-02
6.637644046094750365e+02,1.204819277108433798e-02
6.658130601792573771e+02,1.204819277108433798e-02
6.678617157490397176e+02,1.204819277108433798e-02
6.699103713188220581e+02,1.204819277108433798e-02
6.719590268886043987e+02,1.204819277108433798e-02
6.740076824583867392e+02,1.204819277108433798e-02
6.760563380281689660e+02,1.204819277108433798e-02
6.781049935979513066e+02,1.204819277108433798e-02
6.801536491677336471e+02,1.204819277108433798e-02
6.822023047375159877e+02,1.204819277108433798e-02
6.842509603072983282e+02,1.204819277108433798e-02
6.862996158770806687e+02,1.204819277108433798e-02
6.883482714468630093e+02,1.204819277108433798e-02
6.903969270166453498e+02,1.204819277108433798e-02
6.924455825864276903e+02,1.204819277108433798e-02
6.944942381562100309e+02,1.204819277108433798e-02
6.965428937259923714e+02,1.204819277108433798e-02
6.985915492957745982e+02,1.204819277108433798e-02
7.006402048655569388e+02,1.204819277108433798e-02
7.026888604353392793e+02,1.204819277108433798e-02
7.047375160051216199e+02,1.204819277108433798e-02
7.067861715749039604e+02,1.204819277108433798e-02
7.088348271446863009e+02,1.204819277108433798e-02
7.108834827144686415e+02,1.204819277108433798e-02
7.129321382842509820e+02,1.204819277108433798e-02
7.149807938540333225e+02,1.204819277108433798e-02
7.170294494238156631e+02,1.204819277108433798e-02
